AVG,ROWNO,PREAVG_2,MM_0,PUM_NAME,PREAVG_1,MM_1,UNIT_NAME,MM_2,GRADE_NAME
"24,134",142,"21,279",202507,멜론 머스크,"28,809",202506,   8키로상자,202505,중
"18,799",143,"16,833",202507,멜론 머스크,"24,730",202506,   8키로상자,202505,하
"11,892",144,"30,115",202507,무,"10,123",202506,  20키로상자(비닐포),202505,특
"10,907",145,"31,690",202507,무,"9,407",202506,  20키로상자(비닐포),202505,상
"8,252",146,"28,996",202507,무,"8,546",202506,  20키로상자(비닐포),202505,중
"4,976",147,"26,260",202507,무,"7,584",202506,  20키로상자(비닐포),202505,하
"10,712",148,"8,087",202507,미나리,"5,595",202506,   4키로상자,202505,상
"8,097",149,"7,059",202507,미나리,"4,294",202506,   4키로상자,202505,중
"5,723",150,"5,755",202507,미나리,"3,400",202506,   4키로상자,202505,하
"23,564",151,"29,566",202507,바나나 수입,"27,059",202506,  13키로상자,202505,특
"22,325",152,"28,266",202507,바나나 수입,"26,214",202506,  13키로상자,202505,상
"18,235",153,"26,192",202507,바나나 수입,"23,658",202506,  13키로상자,202505,중
"14,205",154,"23,445",202507,바나나 수입,"20,470",202506,  13키로상자,202505,하
"26,006",155,"22,531",202507,밤고구마,"24,380",202506,  10키로상자,202505,특
"23,885",156,"21,162",202507,밤고구마,"23,399",202506,  10키로상자,202505,상
"19,487",157,"15,631",202507,밤고구마,"18,272",202506,  10키로상자,202505,중
"8,053",158,"7,857",202507,밤고구마,"9,067",202506,  10키로상자,202505,하
"7,500",159,"11,704",202507,방울토마토(일반),"10,380",202506,   5키로상자,202505,특
"7,250",160,"11,344",202507,방울토마토(일반),"9,928",202506,   5키로상자,202505,상
"5,872",161,"10,025",202507,방울토마토(일반),"7,500",202506,   5키로상자,202505,중
"2,947",162,"8,470",202507,방울토마토(일반),"5,114",202506,   5키로상자,202505,하
"5,755",163,"5,755",202507,방풍나물(일반),"5,755",202506,   4키로상자,202505,상
"40,766",164,"63,686",202507,배 신고,"71,091",202506,  15키로상자,202505,특
"26,919",165,"47,580",202507,배 신고,"48,779",202506,  15키로상자,202505,상
"16,199",166,"32,880",202507,배 신고,"30,860",202506,  15키로상자,202505,중
"9,581",167,"19,789",202507,배 신고,"17,750",202506,  15키로상자,202505,하
"10,808",168,"8,417",202507,배추,"7,305",202506,  10키로망대,202505,특
"10,104",169,"6,927",202507,배추,"6,667",202506,  10키로망대,202505,상
"7,823",170,"5,282",202507,배추,"5,311",202506,  10키로망대,202505,중
"4,804",171,"3,701",202507,배추,"3,379",202506,  10키로망대,202505,하
"54,174",172,"44,052",202507,백다다기오이,"42,605",202506, 100개,202505,특
"45,097",173,"41,606",202507,백다다기오이,"38,576",202506, 100개,202505,상
"32,779",174,"37,314",202507,백다다기오이,"30,344",202506, 100개,202505,중
"15,639",175,"25,480",202507,백다다기오이,"17,544",202506, 100개,202505,하
"34,049",176,"28,737",202507,브로콜리,"25,339",202506,   8키로상자,202505,상
"26,117",177,"20,905",202507,브로콜리,"20,538",202506,   8키로상자,202505,중
"15,704",178,"13,061",202507,브로콜리,"13,879",202506,   8키로상자,202505,하
"30,984",179,"37,750",202507,블루베리 국산,"33,559",202506,   1키로상자,202505,특
"24,448",180,"34,395",202507,블루베리 국산,"29,365",202506,   1키로상자,202505,상
"21,196",181,"30,357",202507,블루베리 국산,"24,503",202506,   1키로상자,202505,중
"14,647",182,"26,127",202507,블루베리 국산,"18,864",202506,   1키로상자,202505,하
"17,745",183,"27,434",202507,빨강파프리카,"22,338",202506,   5키로상자,202505,상
"14,858",184,"24,224",202507,빨강파프리카,"19,238",202506,   5키로상자,202505,중
"11,663",185,"21,120",202507,빨강파프리카,"15,201",202506,   5키로상자,202505,하
"65,111",186,"57,213",202507,사과 미시마,"49,628",202506,  10키로상자,202505,특
"59,882",187,"47,447",202507,사과 미시마,"44,936",202506,  10키로상자,202505,상
"45,168",188,"34,318",202507,사과 미시마,"34,386",202506,  10키로상자,202505,중
"26,423",189,"21,213",202507,사과 미시마,"20,135",202506,  10키로상자,202505,하
"26,000",190,"88,882",202507,사과 미얀마,"67,056",202506,  10키로상자,202505,특
"25,893",191,"61,454",202507,사과 미얀마,"58,630",202506,  10키로상자,202505,상
"23,000",192,"43,154",202507,사과 미얀마,"50,032",202506,  10키로상자,202505,중
"17,000",193,"29,492",202507,사과 미얀마,"42,458",202506,  10키로상자,202505,하
"49,000",194,"49,000",202507,사과 부사,"49,000",202506,   5키로상자,202505,특
"47,556",195,"47,556",202507,사과 부사,"47,556",202506,   5키로상자,202505,상
"27,000",196,"27,000",202507,사과 부사,"27,000",202506,   5키로상자,202505,중
"27,000",197,"27,000",202507,사과 부사,"27,000",202506,   5키로상자,202505,하
"35,561",198,"52,708",202507,사과 부사,"63,752",202506,  10키로상자,202505,특
"32,578",199,"42,316",202507,사과 부사,"52,586",202506,  10키로상자,202505,상
"23,678",200,"28,886",202507,사과 부사,"31,088",202506,  10키로상자,202505,중
"17,756",201,"21,450",202507,사과 부사,"21,420",202506,  10키로상자,202505,하
"21,722",202,"14,313",202507,상추 적포기,"13,660",202506,   4키로상자,202505,상
"17,966",203,"11,935",202507,상추 적포기,"10,510",202506,   4키로상자,202505,중
"12,501",204,"8,510",202507,상추 적포기,"6,257",202506,   4키로상자,202505,하
"21,837",205,"14,472",202507,상추 포기찹,"13,913",202506,   4키로상자,202505,상
"18,166",206,"12,296",202507,상추 포기찹,"11,024",202506,   4키로상자,202505,중
"13,149",207,"9,798",202507,상추 포기찹,"7,533",202506,   4키로상자,202505,하
"60,858",208,"74,076",202507,생표고,"68,638",202506,   4키로상자,202505,특
"47,134",209,"46,205",202507,생표고,"45,832",202506,   4키로상자,202505,상
"26,762",210,"25,482",202507,생표고,"24,105",202506,   4키로상자,202505,중
"15,217",211,"14,697",202507,생표고,"13,773",202506,   4키로상자,202505,하
"28,158",212,"23,927",202507,수박,"19,603",202506,   8키로개,202505,특
"24,369",213,"21,031",202507,수박,"15,645",202506,   8키로개,202505,상
"19,817",214,"17,406",202507,수박,"11,616",202506,   8키로개,202505,중
"12,071",215,"13,236",202507,수박,"7,324",202506,   8키로개,202505,하
"28,697",216,"24,612",202507,수박,"19,317",202506,  10키로상자,202505,특
"25,155",217,"22,229",202507,수박,"16,494",202506,  10키로상자,202505,상
"21,052",218,"18,781",202507,수박,"12,915",202506,  10키로상자,202505,중
"15,076",219,"15,509",202507,수박,"9,097",202506,  10키로상자,202505,하
"4,430",220,"4,410",202507,숙주나물(수입),"4,416",202506,   4키로상자,202505,상
"25,518",221,"11,054",202507,시금치,"15,554",202506,   4키로상자,202505,특
"20,810",222,"9,477",202507,시금치,"13,544",202506,   4키로상자,202505,상
"13,128",223,"6,545",202507,시금치,"8,556",202506,   4키로상자,202505,중
"9,030",224,"3,975",202507,시금치,"5,776",202506,   4키로상자,202505,하
"3,951",225,"1,324",202507,시금치,"1,535",202506, 500그람단,202505,특
"2,967",226,"1,230",202507,시금치,"1,338",202506, 500그람단,202505,상
"2,435",227,"1,063",202507,시금치,"1,139",202506, 500그람단,202505,중
"1,570",228,841,202507,시금치,871,202506, 500그람단,202505,하
"21,811",229,"5,914",202507,쑥갓,"9,941",202506,   4키로상자,202505,상
"16,523",230,"4,940",202507,쑥갓,"7,990",202506,   4키로상자,202505,중
"10,995",231,"3,807",202507,쑥갓,"5,774",202506,   4키로상자,202505,하
"7,000",232,0,202507,아욱,"7,000",202506,   4키로상자,202505,상
"6,250",233,0,202507,아욱,"6,250",202506,   4키로상자,202505,중
"3,385",234,0,202507,아욱,"3,385",202506,   4키로상자,202505,하
"20,687",235,"15,510",202507,알배기배추,"12,291",202506,   8키로상자,202505,특
"15,975",236,"13,873",202507,알배기배추,"11,166",202506,   8키로상자,202505,상
"11,159",237,"9,311",202507,알배기배추,"8,736",202506,   8키로상자,202505,중
"7,118",238,"5,261",202507,알배기배추,"5,832",202506,   8키로상자,202505,하
"14,610",239,"18,416",202507,애호박,"18,405",202506,  20개,202505,특
"12,291",240,"16,660",202507,애호박,"16,582",202506,  20개,202505,상
